dimension;subsistema;grupo;personas;promedio_mayo_junio_2025;promedio_mayo_junio_2026;perdida_total_dias;diferencia_promedio;variacion_promedio_pct;contribucion_perdida_pct
transicion_ciclo;UTU;bachillerato tecnologico → bachillerato tecnologico;15720;12,146882951653945;9,18263358778626;46598;-2,964249363867685;-24,403374723093606;39,05394872482547
transicion_ciclo;UTU;educacion basica integrada → bachillerato tecnico profesional;1535;11,07557003257329;4,785667752442997;9655;-6,289902280130294;-56,79077701311688;8,091889672050085
transicion_ciclo;UTU;educacion basica integrada → bachillerato tecnologico;2404;12,09442595673877;8,898086522462563;7684;-3,196339434276206;-26,428202923473776;6,439987596067619
transicion_ciclo;UTU;educacion basica integrada → educacion basica integrada;13362;10,297335728184404;7,880556802873821;32293;-2,4167789253105827;-23,469943965172646;27,064877594978082
transicion_ciclo;UTU;educacion basica integrada → formacion profesional basica;711;4,462728551336146;1,8368495077355838;1867;-2,625879043600562;-58,84021430822565;1,564739307894097
transicion_ciclo;UTU;formacion profesional basica → bachillerato tecnico profesional;582;3,838487972508591;2,8470790378006874;577;-0,9914089347079038;-25,82811101163832;0,48358574218258926
transicion_ciclo;UTU;formacion profesional basica → formacion profesional basica;1294;2,510046367851623;1,9799072642967543;686;-0,5301391035548686;-21,12068965517241;0,5749390279675151
transicion_grado;Secundaria;1 → 1;4265;4,712778429073857;3,1064478311840564;6851;-1,6063305978898001;-34,08457711442785;1,1005622489959839
transicion_grado;Secundaria;1 → 2;22528;13,057750355113637;10,409801136363637;59653;-2,64794921875;-20,278755120425608;9,582811244979919
transicion_grado;Secundaria;1 → 3;725;6,001379310344827;4,891034482758621;805;-1,1103448275862062;-18,501493909446097;0,12931726907630522
transicion_grado;Secundaria;2 → 1;691;4,277858176555716;2,040520984081042;1546;-2,237337192474674;-52,30040595399188;0,2483534136546185
transicion_grado;Secundaria;2 → 2;4959;5,610002016535592;3,173422060899375;12083;-2,4365799556362173;-43,43278217109994;1,9410441767068274
transicion_grado;Secundaria;2 → 3;23898;13,181646999748933;8,71026864172734;106857;-4,4713783580215924;-33,921241845626405;17,165783132530123
transicion_grado;Secundaria;3 → 1;1105;5,4941176470588236;3,8895927601809954;1773;-1,6045248868778281;-29,204414429253834;0,28481927710843374
transicion_grado;Secundaria;3 → 2;1604;8,302992518703242;2,6477556109725686;9071;-5,655236907730673;-68,1108274515693;1,4571887550200804
transicion_grado;Secundaria;3 → 3;3741;5,429831595829992;2,6808340016038494;10284;-2,748997594226142;-50,627676857185044;1,6520481927710842
transicion_grado;Secundaria;7 → 7;1360;5,131617647058824;2,697794117647059;3310;-2,433823529411765;-47,42799828055596;0,5317269076305221
transicion_grado;Secundaria;7 → 8;29056;17,018515969162994;11,279563601321586;166751;-5,738952367841408;-33,7218143946288;26,78730923694779
transicion_grado;Secundaria;8 → 8;2256;5,963652482269503;3,538563829787234;5471;-2,4250886524822692;-40,664486398097225;0,8788755020080321
transicion_grado;Secundaria;8 → 9;27219;16,02667254491348;11,833719093280429;114128;-4,192953451633052;-26,16234555165854;18,333815261044176
transicion_grado;Secundaria;9 → 1;22167;15,476068029052195;10,136689673839491;118358;-5,339378355212704;-34,50087157273697;19,013333333333332
transicion_grado;Secundaria;9 → 9;2165;6,995842956120092;4,428175519630485;5559;-2,5676674364896073;-36,70275980456886;0,8930120481927711
transicion_grado;UTU;1 → 1;2059;4,425934919864011;3,765905779504614;1359;-0,6600291403593976;-14,912761988368262;1,179605582945629
transicion_grado;UTU;1 → 2;11459;9,847892486255345;7,215463827559124;30165;-2,632428658696221;-26,730883408508866;26,18307756405805
transicion_grado;UTU;2 → 1;1331;4,785123966942149;3,7054845980465814;1437;-1,0796393688955677;-22,562411681582674;1,2473092146378724
transicion_grado;UTU;2 → 2;1463;5,598769651401231;4,248803827751196;1975;-1,3499658236500345;-24,111830057380057;1,714290674258732
transicion_grado;UTU;2 → 3;12787;10,655978728396027;8,410807851724408;28709;-2,2451708766716187;-21,069588574615793;24,91927643913617
transicion_grado;UTU;3 → 3;823;7,5698663426488455;3,7448359659781287;3148;-3,8250303766707168;-50,52969502407705;2,732449135476703
transicion_grado;UTU;7 → 8;6557;10,955162421839256;7,72578923288089;21175;-3,229373188958366;-29,478095025963004;18,379800013887927
transicion_grado;UTU;8 → 9;5652;10,663835810332625;8,995399858457183;9430;-1,6684359518754412;-15,645739315104844;8,18519547253663
transicion_grado;UTU;9 → 1;4013;11,67655120857214;7,238474956391727;17810;-4,438076252180414;-38,00845106491955;15,458995903062286
