subsistema;ID_CENTRO;personas;promedio_mayo_junio_2025;promedio_mayo_junio_2026;perdida_total_dias;diferencia_promedio;variacion_promedio_pct
Secundaria;centro_0338;212;7,778301886792453;5,15566037735849;556;-2,6226415094339623;-33,717404487568224
Secundaria;centro_0344;480;11,802083333333334;8,772916666666667;1454;-3,029166666666667;-25,66637246248896
Secundaria;centro_0353;380;17,655263157894737;14,342105263157896;1259;-3,3131578947368414;-18,765836935459824
Secundaria;centro_0354;517;8,680851063829786;6,056092843326886;1357;-2,6247582205029003;-30,236185383244198
Secundaria;centro_0356;634;16,063091482649842;15,569400630914826;313;-0,4936908517350158;-3,0734485467399875
Secundaria;centro_0357;377;21,55702917771883;16,222811671087534;2011;-5,334217506631298;-24,744678233050323
Secundaria;centro_0362;276;7,536231884057971;6,195652173913044;370;-1,3405797101449268;-17,78846153846153
Secundaria;centro_0363;515;11,03495145631068;7,656310679611651;1740;-3,3786407766990285;-30,61763153264121
Secundaria;centro_0367;81;5,012345679012346;2,382716049382716;213;-2,6296296296296298;-52,46305418719213
Secundaria;centro_0368;226;16,057522123893804;8,579646017699115;1690;-7,477876106194689;-46,56930283824745
Secundaria;centro_0377;455;17,84835164835165;11,505494505494505;2886;-6,342857142857143;-35,53749538234208
Secundaria;centro_0379;822;8,517031630170317;5,928223844282239;2128;-2,5888077858880783;-30,395657763176686
Secundaria;centro_0385;359;3,214484679665738;1,9749303621169916;445;-1,2395543175487465;-38,56152512998266
Secundaria;centro_0387;175;10,674285714285714;6,182857142857143;786;-4,491428571428571;-42,07708779443254
Secundaria;centro_0391;309;16,58252427184466;9,258899676375405;2263;-7,323624595469257;-44,16471506635441
Secundaria;centro_0395;97;10,1340206185567;7,845360824742268;222;-2,288659793814433;-22,583926754832152
Secundaria;centro_0397;589;16,840407470288625;9,385398981324279;4391;-7,455008488964346;-44,268575461236004
Secundaria;centro_0402;104;17,98076923076923;14,39423076923077;373;-3,58653846153846;-19,94652406417111
Secundaria;centro_0406;701;8,854493580599144;7,333808844507846;1066;-1,5206847360912974;-17,1741582084743
Secundaria;centro_0409;504;20,083333333333332;15,023809523809524;2550;-5,059523809523808;-25,192649673977474
Secundaria;centro_0414;416;21,348557692307693;12,764423076923077;3571;-8,584134615384617;-40,20943587433848
Secundaria;centro_0415;569;14,572934973637961;11,156414762741653;1944;-3,4165202108963086;-23,444283646888564
Secundaria;centro_0416;371;15,681940700808624;12,15633423180593;1308;-3,5256064690026943;-22,481952561017525
Secundaria;centro_0422;210;15,185714285714285;13,3;396;-1,8857142857142843;-12,41768579492003
Secundaria;centro_0424;48;13,541666666666666;10,833333333333334;130;-2,708333333333332;-19,999999999999996
Secundaria;centro_0426;563;13,236234458259325;10,868561278863233;1333;-2,3676731793960926;-17,88781535158347
Secundaria;centro_0432;159;11,867924528301886;11,930817610062894;-10;0,06289308176100761;0,5299417064122958
Secundaria;centro_0433;739;16,317997293640055;9,487144790257105;5048;-6,83085250338295;-41,860850816817305
Secundaria;centro_0434;682;17,541055718475075;11,413489736070382;4179;-6,127565982404693;-34,93270918665887
Secundaria;centro_0440;401;18,456359102244388;13,12219451371571;2139;-5,334164588528678;-28,901499797324682
Secundaria;centro_0443;193;5,787564766839378;2,673575129533679;601;-3,1139896373056994;-53,804834377797675
Secundaria;centro_0446;665;11,666165413533834;10,270676691729323;928;-1,3954887218045116;-11,961845836555817
Secundaria;centro_0454;282;6,74113475177305;6,212765957446808;149;-0,5283687943262416;-7,837980010520784
Secundaria;centro_0459;964;8,312240663900415;6,9346473029045645;1328;-1,3775933609958502;-16,573068763259702
Secundaria;centro_0460;332;6,822289156626506;4,620481927710843;731;-2,201807228915663;-32,273730684326715
Secundaria;centro_0468;539;8,54730983302412;6,159554730983302;1287;-2,387755102040817;-27,935749945734756
Secundaria;centro_0474;178;17,528089887640448;12,786516853932584;844;-4,741573033707864;-27,051282051282044
Secundaria;centro_0476;322;5,537267080745342;5,416149068322981;39;-0,12111801242236098;-2,187324733595075
Secundaria;centro_0482;503;13,007952286282306;8,280318091451292;2378;-4,727634194831014;-36,344184624789854
Secundaria;centro_0484;194;19,742268041237114;10,948453608247423;1706;-8,793814432989691;-44,543080939947785
Secundaria;centro_0485;451;19,75609756097561;11,518847006651885;3715;-8,237250554323726;-41,694725028058365
Secundaria;centro_0486;587;17,71039182282794;12,706984667802384;2937;-5,003407155025556;-28,251250480954226
Secundaria;centro_0490;136;10,985294117647058;9,529411764705882;198;-1,4558823529411757;-13,253012048192769
Secundaria;centro_0497;735;12,360544217687075;6,447619047619048;4346;-5,912925170068027;-47,83709411117226
Secundaria;centro_0499;872;12,02637614678899;7,934633027522936;3568;-4,091743119266055;-34,02307618956804
Secundaria;centro_0506;533;23,23827392120075;17,151969981238274;3244;-6,086303939962477;-26,190860649119973
Secundaria;centro_0518;455;19,71868131868132;14,832967032967034;2223;-4,885714285714286;-24,777084262148907
Secundaria;centro_0524;454;21,262114537444933;15,17180616740088;2765;-6,090308370044053;-28,643944887599705
Secundaria;centro_0525;167;9,173652694610778;6,9640718562874255;369;-2,209580838323353;-24,086161879895553
Secundaria;centro_0542;95;14,578947368421053;6,3052631578947365;786;-8,273684210526316;-56,75090252707582
Secundaria;centro_0543;445;11,532584269662921;8,467415730337079;1364;-3,0651685393258425;-26,578332034294615
Secundaria;centro_0544;507;13,372781065088757;13,128205128205128;124;-0,24457593688362955;-1,8289085545722727
Secundaria;centro_0547;682;9,667155425219942;6,086510263929619;2442;-3,580645161290323;-37,0392840891855
Secundaria;centro_0549;465;9,451612903225806;5,025806451612903;2058;-4,425806451612903;-46,82593856655291
Secundaria;centro_0554;177;22,677966101694917;15,548022598870057;1262;-7,12994350282486;-31,43996013951171
Secundaria;centro_0561;218;17,90366972477064;7,894495412844036;2182;-10,009174311926603;-55,90571355367666
Secundaria;centro_0566;331;18,196374622356494;10,709969788519638;2478;-7,486404833836856;-41,142287896397136
Secundaria;centro_0569;1134;11,753086419753087;5,919753086419753;6615;-5,833333333333334;-49,63235294117647
Secundaria;centro_0573;776;9,650773195876289;7,333762886597938;1798;-2,3170103092783503;-24,008545867272
Secundaria;centro_0589;201;12,373134328358208;6,263681592039801;1228;-6,109452736318407;-49,37675914756735
Secundaria;centro_0594;633;14,339652448657189;12,431279620853081;1208;-1,9083728278041079;-13,30836179354412
Secundaria;centro_0595;272;15,386029411764707;8,948529411764707;1751;-6,4375;-41,83990442054958
Secundaria;centro_0603;393;17,325699745547073;9,854961832061068;2936;-7,470737913486005;-43,119400793067996
Secundaria;centro_0605;596;11,986577181208053;8,776845637583893;1913;-3,2097315436241605;-26,777715565509517
Secundaria;centro_0607;537;10,41340782122905;8,720670391061452;909;-1,6927374301675986;-16,255364806866957
Secundaria;centro_0614;206;13,995145631067961;11,053398058252426;606;-2,941747572815535;-21,01977107180022
Secundaria;centro_0618;433;17,30715935334873;9,891454965357967;3211;-7,415704387990763;-42,84761142247131
Secundaria;centro_0620;487;17,503080082135522;15,587268993839835;933;-1,915811088295687;-10,945565462224305
Secundaria;centro_0622;558;15,727598566308243;9,476702508960573;3488;-6,250896057347671;-39,744758432087515
Secundaria;centro_0623;189;16,264550264550266;12,455026455026456;720;-3,80952380952381;-23,42225113858165
Secundaria;centro_0628;389;16,989717223650384;9,336760925449871;2977;-7,652956298200513;-45,04463610228476
Secundaria;centro_0629;304;18,30263157894737;15,358552631578947;895;-2,944078947368423;-16,085549964054646
Secundaria;centro_0633;414;18,202898550724637;11,106280193236715;2938;-7,096618357487921;-38,98619957537155
Secundaria;centro_0637;629;15,09697933227345;7,399046104928458;4842;-7,6979332273449925;-50,98989048020219
Secundaria;centro_0640;76;15,868421052631579;13,236842105263158;200;-2,6315789473684212;-16,58374792703151
Secundaria;centro_0647;403;17,096774193548388;14,806451612903226;923;-2,290322580645162;-13,396226415094347
Secundaria;centro_0655;153;17,045751633986928;10,169934640522875;1052;-6,875816993464053;-40,33742331288344
Secundaria;centro_0672;813;17,01722017220172;12,354243542435425;3791;-4,6629766297662965;-27,401517889410908
Secundaria;centro_0674;213;10,244131455399062;8,671361502347418;335;-1,572769953051644;-15,352887259395054
Secundaria;centro_0679;123;11,902439024390244;15,520325203252032;-445;3,617886178861788;30,39617486338797
Secundaria;centro_0682;80;12,05;8,7875;261;-3,262500000000001;-27,0746887966805
Secundaria;centro_0693;841;10,394768133174791;5,093935790725327;4458;-5,300832342449464;-50,995195607412484
Secundaria;centro_0696;373;14,158176943699733;7,64343163538874;2430;-6,514745308310992;-46,014012497633026
Secundaria;centro_0698;833;7,750300120048019;7,5858343337334935;137;-0,16446578631452535;-2,1220570012391526
Secundaria;centro_0700;462;19,525974025974026;12,70995670995671;3149;-6,816017316017316;-34,90743819975612
Secundaria;centro_0701;294;25,023809523809526;19,45578231292517;1637;-5,568027210884356;-22,250917493543575
Secundaria;centro_0702;168;6,505952380952381;3,017857142857143;586;-3,4880952380952386;-53,61390667886552
Secundaria;centro_0704;639;10,11737089201878;6,203442879499217;2501;-3,9139280125195626;-38,68522815158546
Secundaria;centro_0705;471;25,02972399150743;17,787685774946922;3411;-7,242038216560509;-28,933751802527773
Secundaria;centro_0706;205;22,682926829268293;17,653658536585365;1031;-5,029268292682929;-22,172043010752695
Secundaria;centro_0707;160;18,59375;11,89375;1072;-6,699999999999999;-36,033613445378144
Secundaria;centro_0717;444;20,5990990990991;14,871621621621621;2543;-5,727477477477478;-27,804504701508858
Secundaria;centro_0718;57;9,824561403508772;2,824561403508772;399;-7,0;-71,25
Secundaria;centro_0719;205;11,31219512195122;8,960975609756098;482;-2,3512195121951223;-20,784821043553258
Secundaria;centro_0726;686;14,14868804664723;10,221574344023324;2694;-3,927113702623906;-27,756027199670307
Secundaria;centro_0731;313;18,399361022364218;11,725239616613418;2089;-6,6741214057508;-36,27365862128842
Secundaria;centro_0734;249;15,240963855421686;8,931726907630521;1571;-6,309236947791165;-41,3965744400527
Secundaria;centro_0741;94;7,372340425531915;2,351063829787234;472;-5,0212765957446805;-68,1096681096681
Secundaria;centro_0742;84;5,238095238095238;3,2142857142857144;170;-2,0238095238095237;-38,63636363636363
Secundaria;centro_0743;316;17,15506329113924;9,35126582278481;2466;-7,8037974683544284;-45,48976203652462
Secundaria;centro_0745;195;6,635897435897436;4,569230769230769;403;-2,0666666666666673;-31,143740340030924
Secundaria;centro_0747;316;14,215189873417721;6,155063291139241;2547;-8,06012658227848;-56,70080142475511
Secundaria;centro_0751;162;32,08641975308642;20,382716049382715;1896;-11,703703703703702;-36,47556752597153
Secundaria;centro_0752;96;23,958333333333332;14,572916666666666;901;-9,385416666666666;-39,17391304347826
Secundaria;centro_0766;378;9,386243386243386;7,558201058201059;691;-1,8280423280423275;-19,475760992108228
Secundaria;centro_0768;489;23,666666666666668;14,537832310838446;4464;-9,128834355828221;-38,57253953166854
Secundaria;centro_0769;454;18,795154185022028;15,07488986784141;1689;-3,720264317180618;-19,79374194304465
Secundaria;centro_0782;186;13,112903225806452;15,876344086021506;-514;2,763440860215054;21,074210742107425
Secundaria;centro_0785;74;5,364864864864865;9,08108108108108;-275;3,716216216216216;69,26952141057934
Secundaria;centro_0786;343;13,830903790087463;7,481049562682216;2178;-6,349854227405247;-45,9106239460371
Secundaria;centro_0794;419;22,241050119331742;10,37708830548926;4971;-11,863961813842483;-53,34263332975642
Secundaria;centro_0803;104;13,682692307692308;10,576923076923077;323;-3,1057692307692317;-22,698524244553763
Secundaria;centro_0806;199;16,44221105527638;9,557788944723619;1370;-6,884422110552762;-41,87041564792175
Secundaria;centro_0807;77;13,03896103896104;9,116883116883116;302;-3,922077922077923;-30,079681274900405
Secundaria;centro_0824;256;9,8359375;1,578125;2114;-8,2578125;-83,95552025416998
Secundaria;centro_0834;121;7,0;4,140495867768595;346;-2,8595041322314048;-40,85005903187721
Secundaria;centro_0837;328;16,658536585365855;15,753048780487806;297;-0,9054878048780495;-5,4355783308931205
Secundaria;centro_0846;61;5,672131147540983;4,344262295081967;81;-1,3278688524590159;-23,410404624277447
Secundaria;centro_0847;79;5,3544303797468356;4,139240506329114;96;-1,2151898734177218;-22,69503546099291
Secundaria;centro_0853;211;16,009478672985782;14,52132701421801;314;-1,488151658767773;-9,295441089402011
Secundaria;centro_0859;243;16,76954732510288;12,106995884773662;1133;-4,662551440329219;-27,803680981595104
Secundaria;centro_0873;110;13,863636363636363;9,572727272727272;472;-4,290909090909091;-30,950819672131146
Secundaria;centro_0874;381;13,383202099737533;14,296587926509186;-348;0,9133858267716537;6,824867621102171
Secundaria;centro_0876;271;13,180811808118081;8,583025830258302;1246;-4,597785977859779;-34,882418812989926
Secundaria;centro_0877;184;32,72826086956522;20,777173913043477;2199;-11,951086956521742;-36,5161076054467
Secundaria;centro_0882;124;18,266129032258064;8,540322580645162;1206;-9,725806451612902;-53,245033112582774
